場所名稱,場所區域,場所地址,場所LAT,場所LNG,AED放置地點,AED地點描述,周一至周五起,周一至周五迄,周六起,周六迄,周日起,周日迄,開放使用時間備註,管理員姓名,連絡電話,開放時間緊急連絡電話,管理員AED訓練,AED廠牌,AED型號,AED序號,AED廠牌照片,AED場所位置照片1,AED場所位置照片2,AED場所位置照片3,AED場所位置照片4,AED場所位置照片5,AED場所位置照片6,AED場所位置照片7
昇恆昌金湖廣場,金湖鎮,新市里太湖路二段198號,24.439533,118.418334,5F,客服櫃檯附近,09:00,21:00,09:00,21:00,09:00,21:00,,陳政揚,082-338888,0800-818568,Y,Physio-Control,CR Plus,42282404,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/Physio-Control%20CR%20Plus.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E6%98%87%E6%81%86%E6%98%8C%E9%87%91%E6%B9%96%E5%BB%A3%E5%A0%B45F/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E6%98%87%E6%81%86%E6%98%8C%E9%87%91%E6%B9%96%E5%BB%A3%E5%A0%B45F/2.jpg?raw=true,,,,,
昇恆昌金湖廣場,金湖鎮,新市里太湖路二段198號,24.439551,118.418265,1F,客梯廳門口,09:00,21:00,09:00,21:00,09:00,21:00,,陳政揚,082-338888,0800-818568,Y,Physio-Control,CR Plus,42282429,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/Physio-Control%20CR%20Plus.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E6%98%87%E6%81%86%E6%98%8C%E9%87%91%E6%B9%96%E5%BB%A3%E5%A0%B41F/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E6%98%87%E6%81%86%E6%98%8C%E9%87%91%E6%B9%96%E5%BB%A3%E5%A0%B41F/2.jpg?raw=true,,,,,
台電塔山發電廠,金城鎮,金水里西海路一段2號,24.414316,118.282174,機電控制室,機電控制室,08:00,17:00,,,,,,王建群,082-323053#2301,082-323053#2301,N,德瑪凱股份有限公司,ARK-501,SAED-1710-00097,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/%E5%BE%B7%E7%91%AA%E5%87%B1%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_ARK-501.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%8F%B0%E9%9B%BB%E5%A1%94%E5%B1%B1%E7%99%BC%E9%9B%BB%E5%BB%A0/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%8F%B0%E9%9B%BB%E5%A1%94%E5%B1%B1%E7%99%BC%E9%9B%BB%E5%BB%A0/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%8F%B0%E9%9B%BB%E5%A1%94%E5%B1%B1%E7%99%BC%E9%9B%BB%E5%BB%A0/3.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%8F%B0%E9%9B%BB%E5%A1%94%E5%B1%B1%E7%99%BC%E9%9B%BB%E5%BB%A0/4.jpg?raw=true,,,
國立金門大學,金寧鎮,大學路1號,24.448193,118.322417,身心健康中心,金門大學多功能活動中心(學務長辦公室B205室外),00:00,23:59,00:00,23:59,00:00,23:59,全天開放,許竹君,082-313341,082-313341,Y,CardiacScience,9300A,5102775,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/CardiacScience%209300A.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8/2.png?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8/3.jpg?raw=true,,,,
交通部民用航空局金門航空站,金湖鎮,金門縣金湖鎮尚義機場2號,24.435778,118.368014,航廈大廳護理站旁,金門航空站航廈大廳(外候機室)護理站旁,07:30,20:00,07:30,21:00,07:30,21:00,每日上午7時30分至班機結束,王惠慈,082-313605,082-313622,Y,PHILIPS,FRX,B12A-01651,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%BA%A4%E9%80%9A%E9%83%A8%E6%B0%91%E7%94%A8%E8%88%AA%E7%A9%BA%E5%B1%80%E9%87%91%E9%96%80%E8%88%AA%E7%A9%BA%E7%AB%99/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%BA%A4%E9%80%9A%E9%83%A8%E6%B0%91%E7%94%A8%E8%88%AA%E7%A9%BA%E5%B1%80%E9%87%91%E9%96%80%E8%88%AA%E7%A9%BA%E7%AB%99/2.jpg?raw=true,,,,,
雙鯉濕地自然中心,金寧鎮,金門縣金寧鄉古寧村南山1-6號,24.476169,118.309911,雙鯉濕地自然中心,展示館1樓展示區,08:30,17:00,,,08:30,17:00,除夕休館,董亞鈕,082-313289,082-313271,Y,PHILIPS,FRX,B12A-02206,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E9%9B%99%E9%AF%89%E6%BF%95%E5%9C%B0%E8%87%AA%E7%84%B6%E4%B8%AD%E5%BF%83/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E9%9B%99%E9%AF%89%E6%BF%95%E5%9C%B0%E8%87%AA%E7%84%B6%E4%B8%AD%E5%BF%83/2.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E9%9B%99%E9%AF%89%E6%BF%95%E5%9C%B0%E8%87%AA%E7%84%B6%E4%B8%AD%E5%BF%83/3.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E9%9B%99%E9%AF%89%E6%BF%95%E5%9C%B0%E8%87%AA%E7%84%B6%E4%B8%AD%E5%BF%83/4.JPG?raw=true,,,
胡璉將軍紀念館,金寧鎮,林厝50-6號,24.478322,118.315587,胡璉將軍館,展示館地下一樓服務台前方,08:30,17:00,,,08:30,17:00,除夕休館,董亞鈕,082-313289,082-313271,Y,PHILIPS,FRX,B12A-01671,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E8%83%A1%E7%92%89%E5%B0%87%E8%BB%8D%E7%B4%80%E5%BF%B5%E9%A4%A8/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E8%83%A1%E7%92%89%E5%B0%87%E8%BB%8D%E7%B4%80%E5%BF%B5%E9%A4%A8/2.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E8%83%A1%E7%92%89%E5%B0%87%E8%BB%8D%E7%B4%80%E5%BF%B5%E9%A4%A8/3.jpg?raw=true,,,,
金水學校展示館,金城鎮,前水頭47號,24.409321,118.297989,金水國小,展示館入口處右側,08:30,17:00,,,08:00,17:00,除夕休館,董亞鈕,082-313289,082-313271,Y,PHILIPS,FRX,B12A-01852,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E6%B0%B4%E5%AD%B8%E6%A0%A1%E5%B1%95%E7%A4%BA%E9%A4%A8/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E6%B0%B4%E5%AD%B8%E6%A0%A1%E5%B1%95%E7%A4%BA%E9%A4%A8/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E6%B0%B4%E5%AD%B8%E6%A0%A1%E5%B1%95%E7%A4%BA%E9%A4%A8/3.JPG?raw=true,,,,
翟山坑道,金城鎮,翟山坑道,24.390291,118.320787,翟山坑道,入口處服務台,08:00,17:00,,,08:00,17:00,除夕休館,董亞鈕,082-313289,082-313271,Y,PHILIPS,FRX,B12A-02926,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%BF%9F%E5%B1%B1%E5%9D%91%E9%81%93/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%BF%9F%E5%B1%B1%E5%9D%91%E9%81%93/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%BF%9F%E5%B1%B1%E5%9D%91%E9%81%93/3.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%BF%9F%E5%B1%B1%E5%9D%91%E9%81%93/4.JPG?raw=true,,,
金門國家公園烈嶼遊客中心,烈嶼鎮,羅厝5-5號,24.423724,118.262657,烈嶼遊客中心,服務台右側,00:00,23:59,00:00,23:59,00:00,23:59,每日08:00~17:00(除外休館),李錫慶,082-364402,082-364405,Y,PHILIPS,FRX,B12A-01386,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://raw.githubusercontent.com/biglan-1234/googlemap/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92%E7%83%88%E5%B6%BC%E9%81%8A%E5%AE%A2%E4%B8%AD%E5%BF%83/1.bmp,https://raw.githubusercontent.com/biglan-1234/googlemap/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92%E7%83%88%E5%B6%BC%E9%81%8A%E5%AE%A2%E4%B8%AD%E5%BF%83/2.bmp,,,,,
