編號,石頭柱編號,圖例,顏色,地點描述,LAT,LNG,海拔,地點照片1,地點照片2,地點照片3,地點照片4,地點照片5
1,,,,中山林石頭牌,24.443585,118.352989,58.31m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127770.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127771.jpg?raw=true,,,
2,,,,"中山林路口拱門
緊急電話-313100",24.443295,118.353371,55.33m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127772.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127773.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127774.jpg?raw=true,,
3,2,無障礙步道,橘色,0.1K(公里),24.442704,118.353805,58.55m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127775.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127776.jpg?raw=true,,,
4,3,無障礙步道,橘色,0.2K(公里),24.441942,118.354371,56.11m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127777.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127778.jpg?raw=true,,,
5,,,,四叉路口,24.441819,118.354531,46.0m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127779.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127780.jpg?raw=true,,,
6,,,,自行車道導覽圖,24.441783,118.354455,40.0m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127781.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127782.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127783.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127784.jpg?raw=true,
7,28,"無障礙步道
一般級自行車道","橘色
綠色","無障礙2.7K(公里)
一般級自行車0.9K(公里)",24.442055,118.353908,48.0m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127785.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127786.jpg?raw=true,,,
8,27,"無障礙步道
一般級自行車道","橘色
綠色","無障礙2.6K(公里)
一般級自行車1.0K(公里)",24.442283,118.352869,43.0m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127787.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127788.jpg?raw=true,,,
9,26,"無障礙步道
一般級自行車道","橘色
綠色","無障礙2.5K(公里)
一般級自行車1.1K(公里)",24.442212,118.351688,57.45m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127789.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127790.jpg?raw=true,,,
10,25,"無障礙步道
一般級自行車道","橘色
綠色","無障礙2.4K(公里)
一般級自行車1.2K(公里)",24.442197,118.350798,49.36m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127791.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127792.jpg?raw=true,,,
11,24,"無障礙步道
一般級自行車道","橘色
綠色","無障礙2.3K(公里)
一般級自行車1.3K(公里)",24.44215,118.349952,49.0m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127793.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127794.jpg?raw=true,,,
12,23,"無障礙步道
一般級自行車道","橘色
綠色","無障礙2.2K(公里)
一般級自行車1.4K(公里)",24.442103,118.349037,55.99m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127795.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127796.jpg?raw=true,,,
13,22,"無障礙步道
一般級自行車道","橘色
綠色","無障礙2.1K(公里)
一般級自行車1.5K(公里)",24.44182,118.348081,58.19m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127797.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127798.jpg?raw=true,,,
14,21,無障礙步道,橘色,無障礙2.0K(公里),24.441321,118.347107,58.78m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127799.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127800.jpg?raw=true,,,
15,,,,賈村導覽圖,24.441127,118.346529,61.3m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127801.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127802.jpg?raw=true,,,
16,20,無障礙步道,橘色,無障礙1.9K(公里),24.440894,118.34662,50.98m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127803.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127804.jpg?raw=true,,,
17,19,無障礙步道,橘色,無障礙1.8K(公里),24.439898,118.346896,53.5m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127805.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127806.jpg?raw=true,,,
18,41,一般級自行車道,綠色,一般級自行車1.9K(公里),24.439675,118.347404,48.58m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127807.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127808.jpg?raw=true,,,
19,40,一般級自行車道,綠色,一般級自行車1.8K(公里),24.440011,118.348053,49.18m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127809.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127810.jpg?raw=true,,,
20,39,一般級自行車道,綠色,一般級自行車1.7K(公里),24.440843,118.348336,50.05m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127811.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127812.jpg?raw=true,,,
21,38,一般級自行車道,綠色,一般級自行車1.6K(公里),24.441259,118.347499,54.93m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127813.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127814.jpg?raw=true,,,
22,18,"無障礙步道
一般級自行車道","橘色
綠色","無障礙1.7K(公里)
一般級自行車2.0K(公里)",24.439194,118.347115,50.43m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127815.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127816.jpg?raw=true,,,
23,17,"無障礙步道
一般級自行車道","橘色
綠色","無障礙1.6K(公里)
一般級自行車2.1K(公里)",24.438367,118.347539,40.76m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127817.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127818.jpg?raw=true,,,
24,51,挑戰級自行車道,黃色,挑戰級自行車0.0K(公里)(起點),24.437444,118.348243,50.06m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127819.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127820.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B31/127821.jpg?raw=true,,
