編號,鄉鎮,地址,型式,經度,緯度,流量,
1,金城鎮,金城車站前（7-11旁）,地上式,118.320395376908,24.433083239962,1106,
2,金城鎮,民生路大成飯店前,地下式,118.319741674866,24.434401914827,326,
3,金城鎮,民生路34號（土地銀行旁）,地上式,118.319403337432,24.435078173197,1241,
4,金城鎮,縣政府後方廚房旁,地下式,118.319900021838,24.437129185878,313,
5,金城鎮,金城新莊6巷及富康一村8巷路口,地下式,118.320955915477,24.438275781341,1011,
6,金城鎮,環島北路38巷(文化局後) ,地上式,118.32418,24.44122,575,
7,金城鎮,環島西路青年活動中心車棚對面,地上式,118.320567925272,24.441112823088,491,
8,金城鎮,民權路永豐銀行旁,地上式,118.320748014697,24.439786783591,800,
9,金城鎮,民權路摩斯漢堡旁,地上式,118.320182998519,24.439366129136,1117,
10,金城鎮,翔豐段愛家公園左側,地上式,118.319410612253,24.440061201363,1357,
11,金城鎮,翔豐段愛家公園右側,地上式,118.318616988060,24.439953708822,1072,
12,金城鎮,民生路75號旁（台灣銀行自動櫃員機前）,地上式,118.318621723876,24.436430124384,1135,
13,金城鎮,法院服務中心前,地上式,118.318133624640,24.437536641710,1678,
14,金城鎮,珠浦西路84巷1號旁（鳳翔社區內）,地上式,118.315359620709,24.438070705690,1383,
15,金城鎮,珠浦西路92巷17號右後方（鳳翔社區內）,地上式,118.314980445444,24.439490727566,404,
16,金城鎮,民權路70巷6弄26號後方（棒球場往省政府方向內）,地上式,118.311279536810,24.434161115949,560,
17,金城鎮,民權路70巷4弄13-1號旁（安和新莊內）,地上式,118.312182677953,24.433414764732,784,
18,金城鎮,民權路70巷8弄5號前（安和新莊一代養生館旁）,地上式,118.313068545883,24.433761606842,812,
19,金城鎮,民權路68號前（物資處大門右側）,地下式,118.313897958689,24.432477435602,896,
20,金城鎮,民權路32號(金城國中側門) ,地上式,118.31359,24.43137,800,
21,金城鎮,民權路119號斜對面 (一家人麵包斜對面) ,地上式,118.31577,24.43431,939,
22,金城鎮,民權路154號斜對面(民權路國民黨部斜對面) ,地上式,118.31738,24.43601,1394,
23,金城鎮,中興路173巷13號前（傅錫琪紀念館左前方）,地下式,118.318810140195,24.434621091881,771,
24,金城鎮,北帝廟左側路口,地下式,118.318890348954,24.433954055877,1195,
25,金城鎮,中興路99號前,地下式,118.317892325679,24.433352405139,1296,
26,金城鎮,珠浦北路朱子祠對面巷口,地下式,118.316833140366,24.434129145000,1024,
27,金城鎮,莒光路165號（全頻消防器材行前）,地下式,118.316182298168,24.433629539219,956,
28,金城鎮,中興路、莒光路口（陳氏宗祠前）,地下式,118.316897652307,24.432734782366,1084,
29,金城鎮,中興路1號福德宮前,地下式,118.316297738534,24.432210217139,1032,
30,金城鎮,光前路74號右側,地下式,118.315090444245,24.433075929894,976,
31,金城鎮,民族路212號,地下式,118.316185490889,24.430275774921,794,
32,金城鎮,珠浦南路35號,地下式,118.315595835178,24.431270231965,389,
33,金城鎮,代天府(民族路66號金香特產旁),地下式,118.319389492625,24.430491650395,1112,
34,金城鎮,莒光路30號,地下式,118.317940480388,24.431971691499,612,
35,金城鎮,國慶大飯店前,地上式,118.321408079028,24.427330938556,952,
36,金城鎮,燦坤賣場旁,地上式,118.321518143022,24.428619008105,404,
37,金城鎮,警察局大門左側,地上式,118.322297998493,24.428965230558,986,
38,金城鎮,庵前牧馬候祠右前方（庵前41-2號右前方）,地上式,118.321934553854,24.420193526900,342,
39,金城鎮,庵前30號前,地上式,118.321165742617,24.419580916884,1879,
40,金城鎮,庵前百姓公祠前,地上式,118.320356164106,24.419548482281,284,
41,金城鎮,賢庵國小大門左側,地上式,118.318612890339,24.418046310910,937,
42,金城鎮,官裏仰雲殿金爐旁,地下式,118.316922707272,24.411945339600,450,
43,金城鎮,吳厝村牌後方25公尺處,地上式,118.317201401728,24.419761805359,1280,
44,金城鎮,西海路三段43號(金城消防分隊),地上式,118.310911000000,24.420185000000,622,
45,金城鎮,賢厝廟口旁,地上式,118.311392644724,24.416268216201,1113,
46,金城鎮,賢厝三角公園旁（電線桿旁）,地下式,118.308755545751,24.416947881386,366,
47,金城鎮,賢厝往后豐港(電力公司招牌旁),地上式,118.308015841518,24.418047079950,1124,
48,金城鎮,水頭村公所左側,地上式,118.296812284304,24.411944995563,1037,
49,金城鎮,金門城十字路口（高梁文化中心前）,地上式,118.307456279634,24.402970279078,810,
50,金城鎮,金門城十字路口164之3號左前方,地上式,118.307174586507,24.402719709146,861,
51,金城鎮,金門城舊街151之1號右前方25公尺,地上式,118.309072400825,24.404114370420,1147,
52,金城鎮,大古崗70之1號左側,地上式,118.314286664060,24.400329146187,1208,
53,金城鎮,古崗石刻站牌對面路口,地上式,118.316969416233,24.399523632400,1078,
54,金城鎮,古崗公車亭旁,地上式,118.315910293070,24.398053136270,1012,
55,金城鎮,珠山村內大池塘旁,地下式,118.320757583771,24.402117275235,985,
56,金城鎮,東沙往歐厝叉路口,地下式,118.325166628671,24.404085558146,1033,
57,金城鎮,歐厝村內池塘旁,地上式,118.330648079704,24.406981281188,505,
58,金城鎮,歐厝村口石刻站牌右側,地上式,118.331016686748,24.408729961166,956,
59,金城鎮,和平社區十字路口（活動中心左側）,地上式,118.328451133465,24.415205167616,1132,
60,金城鎮,和平社區十字路口（活動中心右側）,地上式,118.328681017633,24.414600814573,1123,
61,金城鎮,和平社區44號旁,地上式,118.327585375749,24.414595951727,785,
62,金城鎮,和平社區6號旁,地上式,118.326983985183,24.414022486375,602,
63,金城鎮,民族路108巷14號前(魁星樓附近),地下式,118.317392,24.431236,1096,
64,金城鎮,許氏家廟旁,地下式,118.3161939,24.431442994490,1198,
1,金湖鎮,金湖分隊右前方路燈旁,地上式,118.425060595618,24.443284592060,519,
2,金湖鎮,金湖鎮綜合體育館旁,地上式,118.426943621978,24.444710155400,395,
3,金湖鎮,下莊恩主公廟前,地上式,118.427897780713,24.450992811453,697,
4,金湖鎮,黃海路97號前,地上式,118.415913000000,24.444817000000,1093,
5,金湖鎮,黃海路71號前,地上式,118.415543000000,24.444341000000,1093,
6,金湖鎮,山外村76-1號旁,地上式,118.415264752507,24.444898304070,1052,
7,金湖鎮,山外村113號前,地上式,118.413071548891,24.444608473174,1067,
8,金湖鎮,山外村18-1號前,地上式,118.413906497459,24.444315117031,1057,
9,金湖鎮,金湖國小大門對面黃海路37號前,地上式,118.415078112661,24.443431856671,1255,
10,金湖鎮,復興路中華電信旁,地下式,118.417079585244,24.440802106894,983,
11,金湖鎮,衛生行政大樓右前方防火巷入口處,地下式,118.416871553785,24.440487917257,987,
12,金湖鎮,中正路自強路口源宏書局前,地下式,118.415598292171,24.440944372159,865,
13,金湖鎮,新市籃球場旁,地上式,118.414668000000,24.441836000000,983,
14,金湖鎮,太湖路202號旁(昇恆昌對面),地上式,118.418217450424,24.438944398608,768,
15,金湖鎮,金門監獄旁,地上式,118.420001734980,24.442175507341,583,
16,金湖鎮,復興路2-1號,地上式,118.418799163730,24.440785881296,1268,
17,金湖鎮,榕園入口處靠太湖旁,地上式,118.429470392970,24.441675301911,1432,
18,金湖鎮,TP15,地上式,118.407506771417,24.445762586925,405,
19,金湖鎮,鑑潭,地上式,118.410062009340,24.451186744015,602,
20,金湖鎮,TP16,地上式,118.403950922460,24.448915529838,937,
21,金湖鎮,太武山公墓牌圓環附近機車停車處,地上式,118.403054001044,24.456196812485,1379,
22,金湖鎮,太湖路國父銅像圓環往小徑路口,地上式,118.395637911676,24.453485191227,215,
23,金湖鎮,小徑特約茶室停車場前,地上式,118.384433132737,24.448195218236,332,
24,金湖鎮,小徑T字路口,地上式,118.384182183807,24.448283941819,1807,
25,金湖鎮,瓊林610號旁靠近環島北路路口,地上式,118.370822536895,24.455706340085,861,
26,金湖鎮,瓊林兒童公園路旁(瓊林寄民宿旁),地上式,118.374856219006,24.454816060084,1029,
27,金湖鎮,瓊林養拙樓旁(民防坑道對面),地上式,118.372678787993,24.455048125154,912,
28,金湖鎮,瓊林82-1號右前路口(老人會對面),地上式,118.373762765592,24.453757707155,835,
29,金湖鎮,瓊林一公車亭旁,地上式,118.374381637942,24.452090233287,714,
30,金湖鎮,尚義三角圓環旁,地上式,118.375448056375,24.437381271411,357,
31,金湖鎮,尚義公車亭旁,地上式,118.377544428970,24.437562902044,342,
32,金湖鎮,成功公車亭旁,地上式,118.391473513200,24.440565918359,812,
33,金湖鎮,成功往金門日報T字路口,地上式,118.390453465127,24.439784077417,1552,
34,金湖鎮,成功往正義國小路口涼亭旁,地上式,118.389293780583,24.438592845651,983,
35,金湖鎮,成功正義國小前叉路口,地上式,118.388442731317,24.438908482246,1115,
36,金湖鎮,夏興公車亭旁,地上式,118.394791905159,24.439033695217,1467,
37,金湖鎮,舊花崗石醫院路口前,地上式,118.399371844711,24.442462100245,509,
38,金湖鎮,新頭99號前(俊輝炭烤),地上式,118.419067177126,24.433822040894,987,
39,金湖鎮,新頭公車亭旁,地上式,118.419908000000,24.433753000000,1066,
40,金湖鎮,金港路(往兩棲偵察營段路段),地上式,118.433867368238,24.423284970729,778,
41,金湖鎮,料羅村新興街候公車亭旁,地下式,118.434653681152,24.416568937923,無水,
42,金湖鎮,料羅新村昆庭風墅旁,地上式,118.436857371178,24.420389686713,841,
43,金湖鎮,料羅碼頭港務大樓旁,地上式,118.428637572171,24.407854872550,742,
44,金湖鎮,新塘三角圓環靠通信營路口,地下式,118.439646000000,24.422469000000,無水,
45,金湖鎮,農會瓦斯行對面馬路,地上式,118.432182628951,24.433998236462,無水,
46,金湖鎮,環島東路西村十字路口,地上式,118.442140236573,24.430167531438,730,
47,金湖鎮,庵邊公車亭旁,地上式,118.443028219962,24.424784543257,310,
48,金湖鎮,峰上18號旁(遊戲區),地上式,118.457963676765,24.427872499064,280,
49,金湖鎮,下湖42-1號前,地上式,118.455422474584,24.438899360659,340,
50,金湖鎮,溪邊79號旁,地上式,118.460058790000,24.442355580000,460,
51,金湖鎮,后壟公車亭旁,地上式,118.443724532719,24.450837158857,648,
52,金湖鎮,建華6號前,地下式,118.433384476048,24.449491313183,160,
53,金湖鎮,建華6號前,地上式,118.433233742214,24.449386917650,890,
54,金湖鎮,塔后藝耕咖啡旁道路 (塔后69號旁),地上式,118.407848792658,24.441417674920,443,
55,金湖鎮,塔后往漁村路口旁,地上式,118.407231689451,24.437771349726,1247,
56,金湖鎮,環島南路后園石頭牌前,地上式,118.402333690000,24.437767740000,1027,
57,金湖鎮,信義新村70號前,地下式,118.408602805095,24.435195037718,315,
58,金湖鎮,新湖漁港漁會大樓右側精神石碑旁碼頭,地上式,118.409903772025,24.431723237542,912,
59,金湖鎮,新湖漁港漁會大樓左側冷凍庫旁碼頭,地上式,118.4110176615,24.4312951909,1280,
60,金湖鎮,星宿王朝前港路37號旁,地上式,118.414849860520,24.434430225784,1396,
61,金湖鎮,湖前58號旁,地上式,118.411460562062,24.435626741227,1315,
